Reef,Zone,Latitude,Longitude,median_ubed90,per_suitable,temp_median,Secchi_median
11049S,Front,-11.36511992,143.3463322,0.276795901,0.938947368,27.35995197,20.27658653
11049S,Flank2,-11.3652708,143.3368884,0.223952383,0.742,27.35995197,20.27658653
11049S,Flank1,-11.35702019,143.3377523,0.242309615,0.517368421,27.36047173,20.27658653
11049S,Back,-11.35828281,143.323843,0.182636458,0.784285714,27.3629179,20.27658653
11162S,Front,-11.60787217,143.2984675,0.146613613,0.578095238,27.28152084,16.30739212
11162S,Flank2,-11.60902898,143.2839875,0.093656696,0.811764706,27.27866364,16.30739212
11162S,Back,-11.601205,143.281131,0.075738329,0.415,27.28518677,16.30739212
11162S,Flank1,-11.5986105,143.2949374,0.158105318,0.472222222,27.2956543,16.30739212
12071S,Back,-12.491621,143.7659393,0.166786935,0.668125,27.10439587,20.90008736
12071S,Flank2,-12.4934499,143.7763755,0.339266196,0.919444444,27.12140751,20.90008736
12071S,Flank1,-12.48266032,143.7685075,0.215681117,0.830625,27.10307121,20.90008736
12071S,Front,-12.4829675,143.7767907,0.37480329,0.836666667,27.12444782,20.90008736
13040S,Flank2,-13.2890361,143.9427668,0.051690472,0.831111111,27.06448174,20.79574013
13040S,Flank1,-13.2612285,143.9455781,0.242555209,0.8435,27.08161736,20.79574013
13040S,Front,-13.27748509,143.9523647,0.442479551,0.993962264,27.06738377,20.79574013
13040S,Back,-13.27566906,143.9416725,0.129588585,0.569428571,27.05694008,20.79574013
13063S,Flank2,-13.43824517,143.8140367,0.088139728,0.6304,27.05780125,17.2152729
13063S,Front,-13.42796071,143.8341018,0.136665158,0.639285714,27.07353783,17.2152729
13063S,Flank1,-13.40808663,143.82744,0.107742483,0.8225,27.07012272,17.2152729
13063S,Back,-13.42272193,143.8061757,0.071622763,0.666779661,27.05634308,17.2152729
13093A,Flank1,-13.75154567,143.9950592,0.210289158,0.956956522,27.00395584,17.57894707
13121S,Front,-13.77518086,144.2712123,0.368521869,0.929473684,27.08929253,21.35190582
13121S,Flank1,-13.7662154,144.2622759,0.304558143,0.733333333,27.0833931,21.35190582
13121S,Flank2,-13.79001442,144.2762466,0.289729387,0.833125,27.07193565,21.35190582
13121S,Back,-13.78212922,144.2632924,0.133434445,0.405238095,27.0753994,21.35190582
13124S,Flank2,-13.88564953,144.082967,0.029512057,0.676944444,26.86949253,14.92225742
13124S,Front,-13.8685655,144.0930157,0.093447696,0.784166667,26.88269997,14.92225742
13124S,Back,-13.86916229,144.0692399,0.021840182,0.330958904,27.02453804,14.92225742
13124S,Flank1,-13.85262928,144.0802128,0.149082515,0.637297297,26.8959322,14.92225742
14056S,Front,-14.32974809,144.9655094,0.203471966,0.546346154,26.74626732,13.27023792
14056S,Flank2,-14.35136442,144.9593219,0.221439257,0.524,26.72596264,13.27023792
14056S,Flank1,-14.31630558,144.9574995,0.206721704,0.209166667,26.74758148,13.27023792
14056S,Back,-14.33524442,144.9555555,0.118644256,0.261136364,27.0718441,13.27023792
14075S,Front,-14.28135024,145.154116,0.361050673,0.981904762,26.85120583,22.52118492
14075S,Back,-14.29297075,145.1713761,0.224359922,0.954814815,26.78630638,22.52118492
