Reef,Zone,Latitude,Longitude,median_ubed90,per_suitable,PAR8_median,temp_median
(LITTLE) BROADHURST REEF,Back,-18.94884327,147.696216,0.194505066,0.45,NA,26.56632042
(LITTLE) BROADHURST REEF,Flank1,-18.95483564,147.7173389,0.139860615,0.87,NA,26.60451412
(LITTLE) BROADHURST REEF,Flank2,-18.96817218,147.6888323,0.235867068,0.36,NA,26.62964058
(LITTLE) BROADHURST REEF,Front,-18.97806238,147.7108007,0.139594361,0.71,NA,26.63960648
11049S,Back,-11.35828281,143.323843,0.182636458,0.784285714,0.398692966,27.3629179
11049S,Flank1,-11.35702019,143.3377523,0.242309615,0.517368421,0.185514972,27.36047173
11049S,Flank2,-11.3652708,143.3368884,0.223952383,0.742,12.32871342,27.35995197
11049S,Front,-11.36511992,143.3463322,0.276795901,0.938947368,13.60382843,27.35995197
11162S,Back,-11.601205,143.281131,0.075738329,0.415,10.48775864,27.28518677
11162S,Flank1,-11.5986105,143.2949374,0.158105318,0.472222222,5.241392612,27.2956543
11162S,Flank2,-11.60902898,143.2839875,0.093656696,0.811764706,5.559824467,27.27866364
11162S,Front,-11.60787217,143.2984675,0.146613613,0.578095238,6.098746777,27.28152084
12071S,Back,-12.491621,143.7659393,0.166786935,0.668125,13.51674414,27.10439587
12071S,Flank1,-12.48266032,143.7685075,0.215681117,0.830625,8.723956585,27.10307121
12071S,Flank2,-12.4934499,143.7763755,0.339266196,0.919444444,10.79576492,27.12140751
12071S,Front,-12.4829675,143.7767907,0.37480329,0.836666667,8.790216446,27.12444782
13040S,Back,-13.27566906,143.9416725,0.129588585,0.569428571,4.314916134,27.05694008
13040S,Flank1,-13.2612285,143.9455781,0.242555209,0.8435,10.10483837,27.08161736
13040S,Flank2,-13.2890361,143.9427668,0.051690472,0.831111111,10.56857204,27.06448174
13040S,Front,-13.27748509,143.9523647,0.442479551,0.993962264,13.47706509,27.06738377
13063S,Back,-13.42272193,143.8061757,0.071622763,0.666779661,9.943134308,27.05634308
13063S,Flank1,-13.40808663,143.82744,0.107742483,0.8225,13.99570179,27.07012272
13063S,Flank2,-13.43824517,143.8140367,0.088139728,0.6304,12.79006577,27.05780125
13063S,Front,-13.42796071,143.8341018,0.136665158,0.639285714,13.61663818,27.07353783
13093A,Flank1,-13.75154567,143.9950592,0.210289158,0.956956522,14.76890993,27.00395584
13121S,Back,-13.78212922,144.2632924,0.133434445,0.405238095,3.225317001,27.0753994
13121S,Flank1,-13.7662154,144.2622759,0.304558143,0.733333333,13.71664715,27.0833931
13121S,Flank2,-13.79001442,144.2762466,0.289729387,0.833125,9.645511627,27.07193565
13121S,Front,-13.77518086,144.2712123,0.368521869,0.929473684,14.98169851,27.08929253
13124S,Back,-13.86916229,144.0692399,0.021840182,0.330958904,4.096547127,27.02453804
13124S,Flank1,-13.85262928,144.0802128,0.149082515,0.637297297,9.691545963,26.8959322
13124S,Flank2,-13.88564953,144.082967,0.029512057,0.676944444,9.670337677,26.86949253
13124S,Front,-13.8685655,144.0930157,0.093447696,0.784166667,0.274173781,26.88269997
14056S,Back,-14.33524442,144.9555555,0.118644256,0.261136364,6.90094018,27.0718441
14056S,Flank1,-14.31630558,144.9574995,0.206721704,0.209166667,10.35238838,26.74758148
14056S,Flank2,-14.35136442,144.9593219,0.221439257,0.524,10.45984936,26.72596264
14056S,Front,-14.32974809,144.9655094,0.203471966,0.546346154,7.02087307,26.74626732
14075S,Back,-14.29297075,145.1713761,0.224359922,0.954814815,6.235183716,26.78630638
14075S,Front,-14.28135024,145.154116,0.361050673,0.981904762,12.27999401,26.85120583
15034S,Back,-15.31694938,145.7570102,0.246043101,0.905,11.53573036,26.88875961
15034S,Flank1,-15.30760512,145.7595384,0.215433821,0.93826087,11.33417034,26.88188553
15034S,Flank2,-15.31897586,145.7702983,0.579322278,1,13.8128252,26.94486904
15034S,Front,-15.30682528,145.7706223,0.595357835,1,11.60367107,26.90699863
15077S,Back,-15.55926841,145.6511689,0.221730009,0.895,13.28637505,26.93623924
15077S,Flank1,-15.55609241,145.6584548,0.247181982,0.678888889,12.19256687,26.93805408
15077S,Flank2,-15.56174905,145.6609754,0.259718075,0.925,12.19256687,26.94004726
15077S,Front,-15.5586073,145.6720245,0.36597576,0.983157895,13.42568254,26.93606663
16013A,Back,-16.01674401,145.7932041,0.495648772,0.97,15.44523859,26.93503761
16013A,Flank1,-16.01763575,145.7965772,0.416429251,0.993333333,15.44523859,26.94310379
16013A,Flank2,-16.01938136,145.7908973,0.331168436,0.991428571,17.47783375,26.94542885
16013A,Front,-16.02023761,145.7950456,0.497271568,1,15.44523859,26.93726254
16013B,Back,-16.01802377,145.8071535,0.407399476,0.854,16.00893593,26.92816257
16013B,Flank1,-16.01802511,145.810512,0.494332194,1,16.00893593,26.92816257
16013B,Flank2,-16.02047949,145.8064697,0.276040554,1,16.00893593,26.92816257
16013B,Front,-16.01990013,145.8099489,0.518430203,1,16.00893593,26.92816257
16013C,Back,-16.03389265,145.8064495,0.434991375,0.72,18.07797527,26.95892715
16013C,Flank1,-16.03346693,145.8080134,0.475693658,0.84,18.07797527,26.95892715
16013C,Flank2,-16.03497005,145.8075981,0.431109369,0.965,18.07797527,26.95892715
16013C,Front,-16.03470134,145.8088609,0.534112036,1,18.07797527,26.95892715
16017S,Back,-16.08040396,145.7202842,0.303470783,0.903333333,16.06224251,26.97753525
16017S,Flank1,-16.07679766,145.7266702,0.472696744,1,16.06224251,26.99465466
16017S,Flank2,-16.08318331,145.718609,0.300023831,0.576666667,16.39066315,26.97753525
16017S,Front,-16.07989253,145.7240019,0.240789428,0.996666667,16.06224251,26.97753525
19131S,Back,-19.75288192,149.3646489,0.238786303,0.538571429,8.829108238,26.30102158
19131S,Flank1,-19.76038505,149.3803468,0.388242312,0.920810811,12.50751114,26.30021858
19131S,Flank2,-19.75847221,149.3591371,0.383030519,0.978292683,8.829108238,26.30431652
19131S,Front,-19.77181618,149.3730644,0.440743834,1,12.78481483,26.31186008
19138S,Back,-19.79585013,149.4211564,0.223336682,0.763846154,5.125089169,26.26191139
19138S,Flank1,-19.79495442,149.429493,0.355721429,0.903684211,5.125089169,26.26409054
19138S,Flank2,-19.80657216,149.4192907,0.356763333,0.932777778,8.714459419,26.26900387
19138S,Front,-19.8064304,149.4287477,0.576568693,1,11.56761265,26.19225407
20104S,Back,-20.02637344,149.6862428,0.218858734,0.686818182,9.056845665,26.1970005
20104S,Flank1,-20.0318444,149.6943203,0.40616408,0.941176471,7.567460537,26.2116766
20104S,Flank2,-20.03533792,149.6825936,0.284548506,0.997142857,8.969350815,26.31818295
20104S,Front,-20.03947234,149.6877095,0.4164152,1,7.567460537,26.21642303
20348S,Back,-20.88143617,150.9470346,0.237666145,0.194246575,10.49014139,25.7118082
20348S,Flank1,-20.89033403,150.9616975,0.366595313,0.467307692,9.671341896,25.7111187
20348S,Flank2,-20.89542932,150.9379107,0.219941556,0.7228,8.119559288,25.72040272
20348S,Front,-20.90133176,150.9542408,0.320297495,0.986052632,8.438632011,25.73652267
20353S,Flank1,-20.96736508,150.9288492,0.345563561,0.9478125,13.58361053,25.75146008
20353S,Flank2,-20.96916033,150.9083213,0.28623879,0.922857143,11.62050724,25.75703621
20353S,Front,-20.97758518,150.9200175,0.290698729,0.941153846,12.00908566,25.75445557
20354S,Back,-20.97143252,150.94982,0.295143723,0.560740741,12.70571327,25.76432896
20354S,Flank1,-20.97104528,150.9554864,0.340606362,0.673571429,12.70571327,25.76432896
20354S,Flank2,-20.97559105,150.9491047,0.32516858,0.985555556,12.70571327,25.75715256
20354S,Front,-20.97770637,150.9548682,0.434145376,1,12.70571327,25.9839468
21060S,Back,-21.01041699,150.5890331,0.279536799,0.56,12.59697104,25.88201237
21060S,Flank1,-21.01110195,150.5964052,0.418025464,0.93375,12.65812969,25.87031841
21060S,Flank2,-21.01650006,150.5866264,0.292882189,0.481428571,9.957912445,25.88201237
21060S,Front,-21.01894162,150.5919837,0.397992127,0.909230769,9.957912445,25.88074684
21062S,Back,-21.02561974,150.856971,0.311239265,0.565714286,11.08898687,25.79333878
21062S,Flank1,-21.02940374,150.8749132,0.399366125,0.99,11.43955231,25.80809498
21062S,Flank2,-21.03597824,150.8555524,0.181097098,0.837857143,11.20774841,25.80073357
21062S,Front,-21.04202541,150.8680715,0.250501141,0.954,14.84665728,25.79272175
21064S,Back,-21.05240428,150.7776789,0.326506495,0.814545455,9.707221031,25.80618
21064S,Flank1,-21.05461,150.7849271,0.435729392,0.894166667,11.21314001,25.80396843
21064S,Flank2,-21.05968366,150.7708411,0.183148742,0.968333333,9.707221031,25.8101778
21064S,Front,-21.0632434,150.7782981,0.242446434,0.973478261,13.26169777,25.80618
21139S,Back,-21.46824524,151.4539195,0.252930194,0.951964286,7.628623486,25.67601204
21139S,Flank1,-21.45801809,151.4748146,0.315134145,0.928974359,10.7980814,25.66745949
21139S,Flank2,-21.48959451,151.4615602,0.259268314,0.948717949,10.05118847,25.67534542
21139S,Front,-21.47885137,151.4848828,0.33763729,0.999574468,5.440773487,25.66588688
21187S,Back,-21.41006387,151.6226919,0.184801757,0.71625,7.434839725,26.03137112
21187S,Flank1,-21.40717086,151.6416474,0.376824565,0.938571429,7.20719099,25.63951588
