Reef,Zone,carrying
13124S,Flank2,39
13124S,Front,32
14056S,Back,4.833333333
14056S,Flank1,4.833333333
14056S,Flank2,16.41666667
14056S,Front,14.25
15047S,Flank2,32
15047S,Front,26
19131S,Flank1,21
19138S,Back,35
19138S,Flank1,31.5
19138S,Flank2,22.25
19138S,Front,29
20104S,Back,21.5
21064S,Flank2,52.125
21187S,Back,42
21187S,Flank2,42.0625
21278S,Flank2,39
21296S,Flank1,27.75
21296S,Front,29
21529S,Back,18
21529S,Flank1,70
21529S,Flank2,62.125
21529S,Front,70
21550S,Back,25
21550S,Flank1,29
21591S,Back,33.5
21591S,Flank2,34
22084S,Flank1,66.8125
22084S,Flank2,39.75
AGINCOURT REEFS (NO 1),Back,14.5
AGINCOURT REEFS (NO 1),Flank1,36.25
AGINCOURT REEFS (NO 1),Flank2,23
AGINCOURT REEFS (NO 1),Front,43.25
ARLINGTON REEF,Flank1,15
ARLINGTON REEF,Flank2,11.25
ARLINGTON REEF,Front,13.25
BAIT REEF,Flank2,46.5
BAIT REEF,Front,55.5
BEN REEF,Back,56.375
BEN REEF,Flank1,66.0625
BEN REEF,Flank2,59
BEN REEF,Front,65.625
BORDER ISLAND REEF (NO 1),Back,25
BORDER ISLAND REEF (NO 1),Flank1,14.72222222
BORDER ISLAND REEF (NO 1),Front,18.83333333
BOULDER REEF,Flank1,28
BOULDER REEF,Flank2,32
BOULDER REEF,Front,44.375
BOULT REEF,Flank1,46.5
BOULT REEF,Flank2,44.5625
BROOMFIELD REEF,Back,40.125
BROOMFIELD REEF,Flank1,66.375
BROOMFIELD REEF,Flank2,39.25
BROOMFIELD REEF,Front,62.875
CARTER REEF,Flank1,17.5
CARTER REEF,Flank2,38.5
CARTER REEF,Front,66.25
CHICKEN REEF,Back,8
CHICKEN REEF,Flank2,27
CHINAMAN REEF(22102),Back,25
CHINAMAN REEF(22102),Flank1,45.75
CHINAMAN REEF(22102),Flank2,38.875
CHINAMAN REEF(22102),Front,50
CREDLIN REEFS (EAST),Back,43
CREDLIN REEFS (EAST),Flank1,48.625
CREDLIN REEFS (EAST),Flank2,65
CREDLIN REEFS (EAST),Front,53.25
DAVIES REEF,Back,31
DAVIES REEF,Flank2,33
EAST CAY REEF,Flank2,67.5
EAST CAY REEF,Front,66.25
EGRET REEF,Front,22
ELLISON REEF,Back,2.5
ERSKINE REEF,Flank1,55.625
FAITH REEF,Flank2,26
FAITH REEF,Front,35
FANTOME (EUMILLI) ISLAND REEF,Back,18.5
FANTOME (EUMILLI) ISLAND REEF,Front,9.75
FITZROY ISLAND REEF,Flank2,32
FITZROY ISLAND REEF,Front,33
FORK REEF,Back,10.5
GANNETT CAY REEF,Flank1,65.875
GANNETT CAY REEF,Flank2,66.75
GANNETT CAY REEF,Front,58.375
GREEN ISLAND REEF,Flank1,7.5
GREEN ISLAND REEF,Flank2,16.5
GREEN ISLAND REEF,Front,18.5
GRUB REEF(18077),Flank1,4.5
HARDY REEF,Flank1,43.25
HASTINGS REEF,Back,14.5
HASTINGS REEF,Flank1,19
HASTINGS REEF,Flank2,26
HASTINGS REEF,Front,17
HAYMAN ISLAND REEF,Flank2,21.88888889
HEDLEY REEF,Flank2,9.375
HELIX REEF,Flank2,31
HELIX REEF,Front,50.0625
HORSESHOE,Flank1,45
HORSESHOE,Flank2,25
HORSESHOE,Front,45.875
HOSKYN ISLANDS REEF,Front,51.5
HYDE REEF,Back,40
JENKINS REEF,Back,11.5
JENKINS REEF,Front,69.875
JOHN BREWER REEF,Back,24.25
JOHN BREWER REEF,Flank1,39.25
JOHN BREWER REEF,Flank2,21
JOHN BREWER REEF,Front,41.875
KAY REEF,Back,10.625
KAY REEF,Front,51.1875
KELSO REEF,Flank2,48.125
KNIFE REEF,Flank1,21
LADY MUSGRAVE REEF,Back,63.75
LADY MUSGRAVE REEF,Flank1,70
LADY MUSGRAVE REEF,Flank2,54.125
LADY MUSGRAVE REEF,Front,59
LAGOON REEF,Flank2,36.53846154
LAGOON REEF,Front,71.61538462
LANGFORD-BIRD REEF,Back,14.83333333
LANGFORD-BIRD REEF,Flank2,31
LANGFORD-BIRD REEF,Front,12.75
LINNET REEF,Back,41.875
LINNET REEF,Flank2,47.625
LINNET REEF,Front,43.25
LITTLE KELSO REEF,Back,18.5
LITTLE KELSO REEF,Flank1,39
LITTLE KELSO REEF,Flank2,25
LITTLE KELSO REEF,Front,35
LIZARD ISLAND,Back,6.416666667
LIZARD ISLAND,Flank1,22
LIZARD ISLAND,Flank2,31
LIZARD ISLAND,Front,20.33333333
LOW ISLANDS REEF,Back,20.64285714
LOW ISLANDS REEF,Flank2,36
MACGILLIVRAY REEF,Back,31.625
MACGILLIVRAY REEF,Flank2,47.625
MACGILLIVRAY REEF,Front,31
MACKAY REEF,Flank1,35
MACKAY REEF,Flank2,37
MACKAY REEF,Front,43.9375
MARTIN REEF(14123),Back,33
MARTIN REEF(14123),Flank1,16
MARTIN REEF(14123),Flank2,47.625
MARTIN REEF(14123),Front,38.375
MCCULLOCH,Flank1,8.625
MCCULLOCH,Flank2,7.5
MICHAELMAS REEF,Flank1,23
MICHAELMAS REEF,Flank2,25
MICHAELMAS REEF,Front,18.875
MOORE REEF,Front,18
MYRMIDON REEF,Back,18
MYRMIDON REEF,Flank2,28
MYRMIDON REEF,Front,28.25
NO NAME REEF,Back,12
NO NAME REEF,Flank1,32
NO NAME REEF,Flank2,50.5
NO NAME REEF,Front,48.375
NORTH DIRECTION REEF,Back,41
NORTH DIRECTION REEF,Flank1,34
NORTH DIRECTION REEF,Flank2,45.75
NORTH DIRECTION REEF,Front,38
NORTH REEF (NORTH),Flank2,48.5
NORTH REEF (NORTH),Front,61.25
ONE TREE REEF,Back,44.25
ONE TREE REEF,Flank2,49.5
ONE TREE REEF,Front,63.25
OPAL (2),Flank1,27
OPAL (2),Flank2,31
OPAL (2),Front,25
PEART REEF,Back,2.5
PEART REEF,Flank1,26.5
PEART REEF,Flank2,21.25
PEART REEF,Front,28
PICKERSGILL REEF,Flank1,33
PICKERSGILL REEF,Front,36
POMPEY REEF (NO 1),Back,6.75
POMPEY REEF (NO 1),Flank1,33.5
POMPEY REEF (NO 2),Flank2,37.5
RIB REEF,Front,48.875
RODDA REEF,Flank1,35.375
RODDA REEF,Front,44.25
SAVILLE-KENT REEF,Flank2,13.09090909
SAVILLE-KENT REEF,Front,23
SLATE REEF,Back,60.5
SLATE REEF,Flank1,52.125
SMALL LAGOON REEF,Back,20.75
SMALL LAGOON REEF,Flank1,22
SMALL LAGOON REEF,Flank2,47.625
SMALL LAGOON REEF,Front,56.25
SNAKE (22088),Flank1,76.25
SNAKE (22088),Flank2,24
SNAKE (22088),Front,61.25
ST CRISPIN REEF,Back,5.5
ST CRISPIN REEF,Flank1,32.125
SWINGER REEF,Flank2,27.9
SWINGER REEF,Front,47.6
TAYLOR REEF,Flank1,17.125
TAYLOR REEF,Front,51.9375
TERN REEF(20309),Flank2,38
THETFORD REEF,Back,18
THETFORD REEF,Flank1,31.25
THETFORD REEF,Front,30
TURNER REEF,Back,47.5
TURNER REEF,Flank1,48
TURNER REEF,Flank2,46.25
TURNER REEF,Front,37
VLASOFF REEF,Back,2.5
VLASOFF REEF,Flank1,21.25
VLASOFF REEF,Flank2,2.5
WADE REEF,Back,21
WADE REEF,Front,46.5
WARDLE REEF,Back,19.5
WARDLE REEF,Flank1,22
WARDLE REEF,Flank2,20.5
WARDLE REEF,Front,21.5
WHEELER REEF,Flank1,41.5
WHEELER REEF,Flank2,54
WHEELER REEF,Front,39
WRECK ISLAND REEF,Back,49.375
WRECK ISLAND REEF,Front,63
YONGE REEF,Back,6
YONGE REEF,Flank1,21
YONGE REEF,Flank2,31
YONGE REEF,Front,56.5
